Address	Type	Color	ExtendedType
1	21630339	STAINING	-99	DNP(20K)
2	27630314	STAINING	Red	DNP (High)
3	43603326	STAINING	Purple	DNP (Bkg)
4	41666334	STAINING	Green	Biotin (High)
5	24669308	STAINING	-99	Biotin(5K)
6	34648333	STAINING	Blue	Biotin (Bkg)
7	63642461	EXTENSION	Red	Extension (A)
8	47640365	EXTENSION	Purple	Extension (T)
9	74666473	EXTENSION	Green	Extension (C)
10	31698466	EXTENSION	Blue	Extension (G)
11	28684356	HYBRIDIZATION	Green	Hyb (High)
12	26772442	HYBRIDIZATION	Blue	Hyb (Medium)
13	21771417	HYBRIDIZATION	Black	Hyb (Low)
14	13643320	TARGET REMOVAL	Green	Target Removal 1
15	42790394	TARGET REMOVAL	Blue	Target Removal 2
16	22711390	BISULFITE CONVERSION I	Green	BS Conversion I C1
17	22795447	BISULFITE CONVERSION I	LimeGreen	BS Conversion I-C2
18	56682500	BISULFITE CONVERSION I	Lime	BS Conversion I-C3
19	46651360	BISULFITE CONVERSION I	Blue	BS Conversion I U1
20	24637490	BISULFITE CONVERSION I	SkyBlue	BS Conversion I-U2
21	33665449	BISULFITE CONVERSION I	Cyan	BS Conversion I-U3
22	54705438	BISULFITE CONVERSION I	Purple	BS Conversion I-C4
23	49720470	BISULFITE CONVERSION I	Red	BS Conversion I-C5
24	26725400	BISULFITE CONVERSION I	Tomato	BS Conversion I-C6
25	57693375	BISULFITE CONVERSION I	Orange	BS Conversion I-U4
26	15700381	BISULFITE CONVERSION I	Gold	BS Conversion I-U5
27	33635504	BISULFITE CONVERSION I	Yellow	BS Conversion I-U6
28	43720395	BISULFITE CONVERSION II	Purple	BS Conversion II-1
29	70664314	BISULFITE CONVERSION II	Red	BS Conversion II-2
30	71718498	BISULFITE CONVERSION II	Tomato	BS Conversion II-3
31	30724412	BISULFITE CONVERSION II	Orange	BS Conversion II-4
32	23777311	SPECIFICITY I	Green	GT Mismatch 1 (PM)
33	51804467	SPECIFICITY I	LimeGreen	GT Mismatch 2 (PM)
34	10673427	SPECIFICITY I	Lime	GT Mismatch 3 (PM)
35	67672371	SPECIFICITY I	Blue	GT Mismatch 1 (MM)
36	30684480	SPECIFICITY I	SkyBlue	GT Mismatch 2 (MM)
37	58661465	SPECIFICITY I	Cyan	GT Mismatch 3 (MM)
38	46779338	SPECIFICITY I	Purple	GT Mismatch 4 (PM)
39	59783305	SPECIFICITY I	Red	GT Mismatch 5 (PM)
40	53740460	SPECIFICITY I	Tomato	GT Mismatch 6 (PM)
41	51745378	SPECIFICITY I	Orange	GT Mismatch 4 (MM)
42	65797428	SPECIFICITY I	Gold	GT Mismatch 5 (MM)
43	12808347	SPECIFICITY I	Yellow	GT Mismatch 6 (MM)
44	29662396	SPECIFICITY II	Purple	Specificity 1
45	17661470	SPECIFICITY II	Red	Specificity 2
46	34730329	SPECIFICITY II	Tomato	Specificity 3
47	24701411	NON-POLYMORPHIC	Red	NP (A)
48	18773482	NON-POLYMORPHIC	Purple	NP (T)
49	23663352	NON-POLYMORPHIC	Green	NP (C)
50	70645401	NON-POLYMORPHIC	Blue	NP (G)
51	13792480	NEGATIVE	Red	Negative 1
52	69649505	NEGATIVE	Gray	Negative 2
53	34772371	NEGATIVE	Silver	Negative 3
54	28715352	NEGATIVE	Brown	Negative 4
55	74737439	NEGATIVE	Maroon	Negative 5
56	33730459	NEGATIVE	Plum	Negative 6
57	54647418	NEGATIVE	Coral	Negative 7
58	71684459	NEGATIVE	Sienna	Negative 8
59	40758350	NEGATIVE	Tan	Negative 9
60	35678453	NEGATIVE	Orange	Negative 10
61	33794466	NEGATIVE	Gold	Negative 11
62	64607409	NEGATIVE	Khaki	Negative 12
63	37639436	NEGATIVE	Olive	Negative 13
64	44804473	NEGATIVE	Yellow	Negative 14
65	45735479	NEGATIVE	Lime	Negative 15
66	74688409	NEGATIVE	Teal	Negative 16
67	37748499	NEGATIVE	Aqua	Negative 17
68	15760434	NEGATIVE	Cyan	Negative 18
69	39647340	NEGATIVE	Lavender	Negative 19
70	46770480	NEGATIVE	Navy	Negative 20
71	73794328	NEGATIVE	Blue	Negative 21
72	13762418	NEGATIVE	BlueViolet	Negative 22
73	57645303	NEGATIVE	Indigo	Negative 23
74	44767440	NEGATIVE	Violet	Negative 24
75	74602472	NEGATIVE	Purple	Negative 25
76	51736450	NEGATIVE	Magenta	Negative 26
77	61694431	NEGATIVE	Fuchsia	Negative 27
78	22623305	NEGATIVE	Orchid	Negative 28
79	34681355	NEGATIVE	Crimson	Negative 29
80	38610459	NEGATIVE	Pink	Negative 30
81	71637302	NEGATIVE	Red	Negative 31
82	11634395	NEGATIVE	Gray	Negative 32
83	52673469	NEGATIVE	Silver	Negative 33
84	24725313	NEGATIVE	Brown	Negative 34
85	62687391	NEGATIVE	Maroon	Negative 35
86	59623346	NEGATIVE	Plum	Negative 36
87	36628412	NEGATIVE	Coral	Negative 37
88	72706346	NEGATIVE	Sienna	Negative 38
89	52773311	NEGATIVE	Tan	Negative 39
90	34658309	NEGATIVE	Orange	Negative 40
91	36675490	NEGATIVE	Gold	Negative 41
92	27699343	NEGATIVE	Khaki	Negative 42
93	61729339	NEGATIVE	Olive	Negative 43
94	71624317	NEGATIVE	Yellow	Negative 44
95	15797359	NEGATIVE	Lime	Negative 45
96	17697426	NEGATIVE	Teal	Negative 46
97	53747447	NEGATIVE	Aqua	Negative 47
98	41671439	NEGATIVE	Cyan	Negative 48
99	36647382	NEGATIVE	Lavender	Negative 49
100	19667322	NEGATIVE	Navy	Negative 50
101	73646500	NEGATIVE	Blue	Negative 51
102	48796393	NEGATIVE	BlueViolet	Negative 52
103	14693463	NEGATIVE	Indigo	Negative 53
104	41618467	NEGATIVE	Violet	Negative 54
105	19735359	NEGATIVE	Purple	Negative 55
106	64613447	NEGATIVE	Magenta	Negative 56
107	44698389	NEGATIVE	Fuchsia	Negative 57
108	17728375	NEGATIVE	Orchid	Negative 58
109	74726377	NEGATIVE	Crimson	Negative 59
110	38694476	NEGATIVE	Pink	Negative 60
111	18717404	NEGATIVE	Red	Negative 61
112	13695465	NEGATIVE	Gray	Negative 62
113	13730428	NEGATIVE	Silver	Negative 63
114	42731444	NEGATIVE	Brown	Negative 64
115	59616409	NEGATIVE	Maroon	Negative 65
116	22706307	NEGATIVE	Plum	Negative 66
117	31766306	NEGATIVE	Coral	Negative 67
118	39609442	NEGATIVE	Sienna	Negative 68
119	33790484	NEGATIVE	Tan	Negative 69
120	10806301	NEGATIVE	Orange	Negative 70
