Address	Type	Color	ExtendedType
121	49756350	NEGATIVE	Gold	Negative 71
122	29745446	NEGATIVE	Khaki	Negative 72
123	68774378	NEGATIVE	Olive	Negative 73
124	19746379	NEGATIVE	Yellow	Negative 74
125	58698497	NEGATIVE	Lime	Negative 75
126	39733339	NEGATIVE	Teal	Negative 76
127	27722502	NEGATIVE	Aqua	Negative 77
128	57718401	NEGATIVE	Cyan	Negative 78
129	42751432	NEGATIVE	Lavender	Negative 79
130	63616307	NEGATIVE	Navy	Negative 80
131	58607432	NEGATIVE	Blue	Negative 81
132	30633490	NEGATIVE	BlueViolet	Negative 82
133	66765375	NEGATIVE	Indigo	Negative 83
134	44809397	NEGATIVE	Violet	Negative 84
135	30748463	NEGATIVE	Purple	Negative 85
136	67709387	NEGATIVE	Magenta	Negative 86
137	21703446	NEGATIVE	Fuchsia	Negative 87
138	63793358	NEGATIVE	Orchid	Negative 88
139	40671337	NEGATIVE	Crimson	Negative 89
140	49628475	NEGATIVE	Pink	Negative 90
141	64702437	NEGATIVE	Red	Negative 91
142	59809450	NEGATIVE	Gray	Negative 92
143	42651436	NEGATIVE	Silver	Negative 93
144	15612396	NEGATIVE	Brown	Negative 94
145	72751495	NEGATIVE	Maroon	Negative 95
146	46652385	NEGATIVE	Plum	Negative 96
147	47749327	NEGATIVE	Coral	Negative 97
148	65692343	NEGATIVE	Sienna	Negative 98
149	18690397	NEGATIVE	Tan	Negative 99
150	48671446	NEGATIVE	Orange	Negative 100
151	23719447	NEGATIVE	Gold	Negative 101
152	63718317	NEGATIVE	Khaki	Negative 102
153	48614418	NEGATIVE	Olive	Negative 103
154	53732484	NEGATIVE	Yellow	Negative 104
155	51654304	NEGATIVE	Lime	Negative 105
156	67796487	NEGATIVE	Teal	Negative 106
157	14667385	NEGATIVE	Aqua	Negative 107
158	66777429	NEGATIVE	Cyan	Negative 108
159	17763347	NEGATIVE	Lavender	Negative 109
160	37773393	NEGATIVE	Navy	Negative 110
161	56669346	NEGATIVE	Blue	Negative 111
162	22667496	NEGATIVE	BlueViolet	Negative 112
163	56717403	NEGATIVE	Indigo	Negative 113
164	51649417	NEGATIVE	Violet	Negative 114
165	27808455	NEGATIVE	Purple	Negative 115
166	51807349	NEGATIVE	Magenta	Negative 116
167	48623411	NEGATIVE	Fuchsia	Negative 117
168	20768333	NEGATIVE	Orchid	Negative 118
169	32769401	NEGATIVE	Crimson	Negative 119
170	39605397	NEGATIVE	Pink	Negative 120
171	38646418	NEGATIVE	Red	Negative 121
172	44684348	NEGATIVE	Gray	Negative 122
173	18731300	NEGATIVE	Silver	Negative 123
174	41746382	NEGATIVE	Brown	Negative 124
175	62715445	NEGATIVE	Maroon	Negative 125
176	59733458	NEGATIVE	Plum	Negative 126
177	46804470	NEGATIVE	Coral	Negative 127
178	33719470	NEGATIVE	Sienna	Negative 128
179	57741357	NEGATIVE	Tan	Negative 129
180	51630461	NEGATIVE	Orange	Negative 130
181	50698313	NEGATIVE	Gold	Negative 131
182	40757376	NEGATIVE	Khaki	Negative 132
183	48691496	NEGATIVE	Olive	Negative 133
184	48631323	NEGATIVE	Yellow	Negative 134
185	58743479	NEGATIVE	Lime	Negative 135
186	63602509	NEGATIVE	Teal	Negative 136
187	15675471	NEGATIVE	Aqua	Negative 137
188	35733328	NEGATIVE	Cyan	Negative 138
189	28616440	NEGATIVE	Lavender	Negative 139
190	32782393	NEGATIVE	Navy	Negative 140
191	16669449	NEGATIVE	Blue	Negative 141
192	48790370	NEGATIVE	BlueViolet	Negative 142
193	71702433	NEGATIVE	Indigo	Negative 143
194	13614338	NEGATIVE	Violet	Negative 144
195	66624407	NEGATIVE	Purple	Negative 145
196	44624509	NEGATIVE	Magenta	Negative 146
197	40783477	NEGATIVE	Fuchsia	Negative 147
198	57671333	NEGATIVE	Orchid	Negative 148
199	55788503	NEGATIVE	Crimson	Negative 149
200	10766300	NEGATIVE	Pink	Negative 150
201	21787367	NEGATIVE	Red	Negative 151
202	17606370	NEGATIVE	Gray	Negative 152
203	22789350	NEGATIVE	Silver	Negative 153
204	55687425	NEGATIVE	Brown	Negative 154
205	26701424	NEGATIVE	Maroon	Negative 155
206	57727413	NEGATIVE	Plum	Negative 156
207	39657358	NEGATIVE	Coral	Negative 157
208	32708507	NEGATIVE	Sienna	Negative 158
209	21634460	NEGATIVE	Tan	Negative 159
210	17719340	NEGATIVE	Orange	Negative 160
211	38749314	NEGATIVE	Gold	Negative 161
212	27642486	NEGATIVE	Khaki	Negative 162
213	58709354	NEGATIVE	Olive	Negative 163
214	70803473	NEGATIVE	Yellow	Negative 164
215	30809470	NEGATIVE	Lime	Negative 165
216	66647505	NEGATIVE	Teal	Negative 166
217	66738419	NEGATIVE	Aqua	Negative 167
218	37635404	NEGATIVE	Cyan	Negative 168
219	42690458	NEGATIVE	Lavender	Negative 169
220	20791303	NEGATIVE	Navy	Negative 170
221	56616504	NEGATIVE	Blue	Negative 171
222	15773503	NEGATIVE	BlueViolet	Negative 172
223	35645419	NEGATIVE	Indigo	Negative 173
224	13788497	NEGATIVE	Violet	Negative 174
225	36739329	NEGATIVE	Purple	Negative 175
226	47806304	NEGATIVE	Magenta	Negative 176
227	19716351	NEGATIVE	Fuchsia	Negative 177
228	36723508	NEGATIVE	Orchid	Negative 178
229	14636449	NEGATIVE	Crimson	Negative 179
230	18610491	NEGATIVE	Pink	Negative 180
231	65642346	NEGATIVE	Red	Negative 181
232	21780347	NEGATIVE	Gray	Negative 182
233	38786493	NEGATIVE	Silver	Negative 183
234	52770489	NEGATIVE	Brown	Negative 184
235	63722503	NEGATIVE	Maroon	Negative 185
236	23716350	NEGATIVE	Plum	Negative 186
237	34730322	NEGATIVE	Coral	Negative 187
238	59678332	NEGATIVE	Sienna	Negative 188
239	17711307	NEGATIVE	Tan	Negative 189
240	58610399	NEGATIVE	Orange	Negative 190
241	27797433	NEGATIVE	Gold	Negative 191
242	56765474	NEGATIVE	Khaki	Negative 192
243	33631454	NEGATIVE	Olive	Negative 193
244	53798451	NEGATIVE	Yellow	Negative 194
245	55696369	NEGATIVE	Lime	Negative 195
246	37714454	NEGATIVE	Teal	Negative 196
247	40718477	NEGATIVE	Aqua	Negative 197
248	70800305	NEGATIVE	Cyan	Negative 198
249	59795323	NEGATIVE	Lavender	Negative 199
250	16634315	NEGATIVE	Navy	Negative 200
251	63701462	NEGATIVE	Blue	Negative 201
252	46770381	NEGATIVE	BlueViolet	Negative 202
253	43648347	NEGATIVE	Indigo	Negative 203
254	27694462	NEGATIVE	Violet	Negative 204
255	64677468	NEGATIVE	Purple	Negative 205
256	71722434	NEGATIVE	Magenta	Negative 206
257	22609385	NEGATIVE	Fuchsia	Negative 207
258	21778313	NEGATIVE	Orchid	Negative 208
259	23740406	NEGATIVE	Crimson	Negative 209
260	54660350	NEGATIVE	Pink	Negative 210
261	54604316	NEGATIVE	Red	Negative 211
262	54602452	NEGATIVE	Gray	Negative 212
263	47638351	NEGATIVE	Silver	Negative 213
264	39627308	NEGATIVE	Brown	Negative 214
265	25616364	NEGATIVE	Maroon	Negative 215
266	48803364	NEGATIVE	Plum	Negative 216
267	51609389	NEGATIVE	Coral	Negative 217
268	16619433	NEGATIVE	Sienna	Negative 218
269	64670483	NEGATIVE	Tan	Negative 219
270	43623510	NEGATIVE	Orange	Negative 220
271	19655377	NEGATIVE	Gold	Negative 221
272	54610311	NEGATIVE	Khaki	Negative 222
273	14694306	NEGATIVE	Olive	Negative 223
274	26768510	NEGATIVE	Yellow	Negative 224
275	11799488	NEGATIVE	Lime	Negative 225
276	63609386	NEGATIVE	Teal	Negative 226
277	22636496	NEGATIVE	Aqua	Negative 227
278	19642457	NEGATIVE	Cyan	Negative 228
279	15736392	NEGATIVE	Lavender	Negative 229
280	72703449	NEGATIVE	Navy	Negative 230
281	59645487	NEGATIVE	Blue	Negative 231
282	18727400	NEGATIVE	BlueViolet	Negative 232
283	57676381	NEGATIVE	Indigo	Negative 233
284	21619366	NEGATIVE	Violet	Negative 234
285	40772413	NEGATIVE	Purple	Negative 235
286	33729325	NEGATIVE	Magenta	Negative 236
287	32761481	NEGATIVE	Fuchsia	Negative 237
288	67687427	NEGATIVE	Orchid	Negative 238
289	22683471	NEGATIVE	Crimson	Negative 239
290	63742465	NEGATIVE	Pink	Negative 240
291	30767497	NEGATIVE	Red	Negative 241
292	74748483	NEGATIVE	Gray	Negative 242
293	65692342	NEGATIVE	Silver	Negative 243
294	55716389	NEGATIVE	Brown	Negative 244
295	73681335	NEGATIVE	Maroon	Negative 245
296	21698344	NEGATIVE	Plum	Negative 246
297	42777359	NEGATIVE	Coral	Negative 247
298	55659383	NEGATIVE	Sienna	Negative 248
299	62711365	NEGATIVE	Tan	Negative 249
300	28650324	NEGATIVE	Orange	Negative 250
301	59785457	NEGATIVE	Gold	Negative 251
302	20650506	NEGATIVE	Khaki	Negative 252
303	19687436	NEGATIVE	Olive	Negative 253
304	43704397	NEGATIVE	Yellow	Negative 254
305	54655320	NEGATIVE	Lime	Negative 255
306	13642439	NEGATIVE	Teal	Negative 256
307	13610413	NEGATIVE	Aqua	Negative 257
308	70616500	NEGATIVE	Cyan	Negative 258
309	48759321	NEGATIVE	Lavender	Negative 259
310	20774308	NEGATIVE	Navy	Negative 260
311	45735494	NEGATIVE	Blue	Negative 261
312	22624440	NEGATIVE	BlueViolet	Negative 262
313	48681497	NEGATIVE	Indigo	Negative 263
314	56705442	NEGATIVE	Violet	Negative 264
315	10627500	NEGATIVE	Purple	Negative 265
316	28799402	NEGATIVE	Magenta	Negative 266
317	19656361	NEGATIVE	Fuchsia	Negative 267
318	64727389	NEGATIVE	Orchid	Negative 268
319	46784419	NEGATIVE	Crimson	Negative 269
320	58649309	NEGATIVE	Pink	Negative 270
321	14677363	NEGATIVE	Red	Negative 271
322	24741416	NEGATIVE	Gray	Negative 272
323	40674383	NEGATIVE	Silver	Negative 273
324	63641352	NEGATIVE	Brown	Negative 274
325	29746457	NEGATIVE	Maroon	Negative 275
326	47774480	NEGATIVE	Plum	Negative 276
327	34624334	NEGATIVE	Coral	Negative 277
328	46809455	NEGATIVE	Sienna	Negative 278
329	57716426	NEGATIVE	Tan	Negative 279
330	61794438	NEGATIVE	Orange	Negative 280
331	21682456	NEGATIVE	Gold	Negative 281
332	50682301	NEGATIVE	Khaki	Negative 282
333	54684414	NEGATIVE	Olive	Negative 283
334	20661475	NEGATIVE	Yellow	Negative 284
335	41802497	NEGATIVE	Lime	Negative 285
336	28631434	NEGATIVE	Teal	Negative 286
337	23698469	NEGATIVE	Aqua	Negative 287
338	68654502	NEGATIVE	Cyan	Negative 288
339	47785348	NEGATIVE	Lavender	Negative 289
340	55763349	NEGATIVE	Navy	Negative 290
341	57708423	NEGATIVE	Blue	Negative 291
342	58728453	NEGATIVE	BlueViolet	Negative 292
343	64729320	NEGATIVE	Indigo	Negative 293
344	12741433	NEGATIVE	Violet	Negative 294
345	12789492	NEGATIVE	Purple	Negative 295
346	66808385	NEGATIVE	Magenta	Negative 296
347	69728489	NEGATIVE	Fuchsia	Negative 297
348	12635324	NEGATIVE	Orchid	Negative 298
349	23681509	NEGATIVE	Crimson	Negative 299
350	54620498	NEGATIVE	Pink	Negative 300
351	63782372	NEGATIVE	Red	Negative 301
352	49690488	NEGATIVE	Gray	Negative 302
353	66645413	NEGATIVE	Silver	Negative 303
354	42797349	NEGATIVE	Brown	Negative 304
355	70648471	NEGATIVE	Maroon	Negative 305
356	72768454	NEGATIVE	Plum	Negative 306
357	45648397	NEGATIVE	Coral	Negative 307
358	38707323	NEGATIVE	Sienna	Negative 308
359	52685510	NEGATIVE	Tan	Negative 309
360	46647425	NEGATIVE	Orange	Negative 310
361	39736424	NEGATIVE	Gold	Negative 311
362	37706335	NEGATIVE	Khaki	Negative 312
363	44795438	NEGATIVE	Olive	Negative 313
364	55644371	NEGATIVE	Yellow	Negative 314
365	40619329	NEGATIVE	Lime	Negative 315
366	37601420	NEGATIVE	Teal	Negative 316
367	32711344	NEGATIVE	Aqua	Negative 317
368	10732387	NEGATIVE	Cyan	Negative 318
369	65679420	NEGATIVE	Lavender	Negative 319
370	74684431	NEGATIVE	Navy	Negative 320
371	71602471	NEGATIVE	Blue	Negative 321
372	17780492	NEGATIVE	BlueViolet	Negative 322
373	42792342	NEGATIVE	Indigo	Negative 323
374	19666445	NEGATIVE	Violet	Negative 324
375	36759384	NEGATIVE	Purple	Negative 325
376	15781320	NEGATIVE	Magenta	Negative 326
377	69775303	NEGATIVE	Fuchsia	Negative 327
378	22626413	NEGATIVE	Orchid	Negative 328
379	63798462	NEGATIVE	Crimson	Negative 329
380	18684312	NEGATIVE	Pink	Negative 330
381	46657422	NEGATIVE	Red	Negative 331
382	21704406	NEGATIVE	Gray	Negative 332
383	19769414	NEGATIVE	Silver	Negative 333
384	36658331	NEGATIVE	Brown	Negative 334
385	31665352	NEGATIVE	Maroon	Negative 335
386	68775364	NEGATIVE	Plum	Negative 336
387	11781405	NEGATIVE	Coral	Negative 337
388	37727355	NEGATIVE	Sienna	Negative 338
389	23624465	NEGATIVE	Tan	Negative 339
390	28620342	NEGATIVE	Orange	Negative 340
391	28731304	NEGATIVE	Gold	Negative 341
392	71685343	NEGATIVE	Khaki	Negative 342
393	13639467	NEGATIVE	Olive	Negative 343
394	34661497	NEGATIVE	Yellow	Negative 344
395	55699322	NEGATIVE	Lime	Negative 345
396	70720399	NEGATIVE	Teal	Negative 346
397	44702369	NEGATIVE	Aqua	Negative 347
398	24729405	NEGATIVE	Cyan	Negative 348
399	71743454	NEGATIVE	Lavender	Negative 349
400	59700309	NEGATIVE	Navy	Negative 350
401	34602505	NEGATIVE	Blue	Negative 351
402	30754380	NEGATIVE	BlueViolet	Negative 352
403	41689490	NEGATIVE	Indigo	Negative 353
404	53743425	NEGATIVE	Violet	Negative 354
405	11773410	NEGATIVE	Purple	Negative 355
406	28800399	NEGATIVE	Magenta	Negative 356
407	11807451	NEGATIVE	Fuchsia	Negative 357
408	69786328	NEGATIVE	Orchid	Negative 358
409	54697374	NEGATIVE	Crimson	Negative 359
410	44715410	NEGATIVE	Pink	Negative 360
411	46765460	NEGATIVE	Red	Negative 361
412	72759412	NEGATIVE	Gray	Negative 362
413	37716390	NEGATIVE	Silver	Negative 363
414	36688342	NEGATIVE	Brown	Negative 364
415	44623355	NEGATIVE	Maroon	Negative 365
416	29726340	NEGATIVE	Plum	Negative 366
417	25742329	NEGATIVE	Coral	Negative 367
418	33714465	NEGATIVE	Sienna	Negative 368
419	17739383	NEGATIVE	Tan	Negative 369
420	57649451	NEGATIVE	Orange	Negative 370
421	51764357	NEGATIVE	Gold	Negative 371
422	69781500	NEGATIVE	Khaki	Negative 372
423	64711325	NEGATIVE	Olive	Negative 373
424	53687365	NEGATIVE	Yellow	Negative 374
425	29655354	NEGATIVE	Lime	Negative 375
426	34646469	NEGATIVE	Teal	Negative 376
427	71705328	NEGATIVE	Aqua	Negative 377
428	43700387	NEGATIVE	Cyan	Negative 378
429	23713493	NEGATIVE	Lavender	Negative 379
430	26668378	NEGATIVE	Navy	Negative 380
431	33621423	NEGATIVE	Blue	Negative 381
432	37767334	NEGATIVE	BlueViolet	Negative 382
433	37654486	NEGATIVE	Indigo	Negative 383
434	64694405	NEGATIVE	Violet	Negative 384
435	31709433	NEGATIVE	Purple	Negative 385
436	16717301	NEGATIVE	Magenta	Negative 386
437	45678305	NEGATIVE	Fuchsia	Negative 387
438	56810364	NEGATIVE	Orchid	Negative 388
439	33631362	NEGATIVE	Crimson	Negative 389
440	54726487	NEGATIVE	Pink	Negative 390
441	13728505	NEGATIVE	Red	Negative 391
442	36781404	NEGATIVE	Gray	Negative 392
443	42770436	NEGATIVE	Silver	Negative 393
444	68758332	NEGATIVE	Brown	Negative 394
445	53677329	NEGATIVE	Maroon	Negative 395
446	40629493	NEGATIVE	Plum	Negative 396
447	54623464	NEGATIVE	Coral	Negative 397
448	32733455	NEGATIVE	Sienna	Negative 398
449	40765481	NEGATIVE	Tan	Negative 399
450	67759403	NEGATIVE	Orange	Negative 400
451	42634319	NEGATIVE	Gold	Negative 401
452	74787491	NEGATIVE	Khaki	Negative 402
453	73726427	NEGATIVE	Olive	Negative 403
454	26678432	NEGATIVE	Yellow	Negative 404
455	39628336	NEGATIVE	Lime	Negative 405
456	27748358	NEGATIVE	Teal	Negative 406
457	49792491	NEGATIVE	Aqua	Negative 407
458	24685437	NEGATIVE	Cyan	Negative 408
459	22694431	NEGATIVE	Lavender	Negative 409
460	28717328	NEGATIVE	Navy	Negative 410
461	39799352	NEGATIVE	Blue	Negative 411
462	39617465	NEGATIVE	BlueViolet	Negative 412
463	34739488	NEGATIVE	Indigo	Negative 413
464	70623422	NEGATIVE	Violet	Negative 414
465	41655506	NEGATIVE	Purple	Negative 415
466	29790482	NEGATIVE	Magenta	Negative 416
467	33717438	NEGATIVE	Fuchsia	Negative 417
468	43667476	NEGATIVE	Orchid	Negative 418
469	58795402	NEGATIVE	Crimson	Negative 419
470	62691388	NEGATIVE	Pink	Negative 420
471	18608337	NEGATIVE	Red	Negative 421
472	24750500	NEGATIVE	Gray	Negative 422
473	19659360	NEGATIVE	Silver	Negative 423
474	38712342	NEGATIVE	Brown	Negative 424
475	16764335	NEGATIVE	Maroon	Negative 425
476	55765450	NEGATIVE	Plum	Negative 426
477	18763320	NEGATIVE	Coral	Negative 427
478	65645458	NEGATIVE	Sienna	Negative 428
479	63642430	NEGATIVE	Tan	Negative 429
480	38762391	NEGATIVE	Orange	Negative 430
481	60779460	NEGATIVE	Gold	Negative 431
482	23760472	NEGATIVE	Khaki	Negative 432
483	47739456	NEGATIVE	Olive	Negative 433
484	60603394	NEGATIVE	Yellow	Negative 434
485	48728325	NEGATIVE	Lime	Negative 435
486	59664305	NEGATIVE	Teal	Negative 436
487	69706451	NEGATIVE	Aqua	Negative 437
488	71663505	NEGATIVE	Cyan	Negative 438
489	71628482	NEGATIVE	Lavender	Negative 439
490	49600340	NEGATIVE	Navy	Negative 440
491	65789315	NEGATIVE	Blue	Negative 441
492	16662505	NEGATIVE	BlueViolet	Negative 442
493	16650480	NEGATIVE	Indigo	Negative 443
494	22674508	NEGATIVE	Violet	Negative 444
495	60708460	NEGATIVE	Purple	Negative 445
496	36642338	NEGATIVE	Magenta	Negative 446
497	18663425	NEGATIVE	Fuchsia	Negative 447
498	72602362	NEGATIVE	Orchid	Negative 448
499	40807480	NEGATIVE	Crimson	Negative 449
500	44746458	NEGATIVE	Pink	Negative 450
501	49669412	NEGATIVE	Red	Negative 451
502	70683410	NEGATIVE	Gray	Negative 452
503	42762374	NEGATIVE	Silver	Negative 453
504	35719437	NEGATIVE	Brown	Negative 454
505	39656464	NEGATIVE	Maroon	Negative 455
506	56698475	NEGATIVE	Plum	Negative 456
507	60644415	NEGATIVE	Coral	Negative 457
508	13650327	NEGATIVE	Sienna	Negative 458
509	30675376	NEGATIVE	Tan	Negative 459
510	71734366	NEGATIVE	Orange	Negative 460
511	22688305	NEGATIVE	Gold	Negative 461
512	21705378	NEGATIVE	Khaki	Negative 462
513	65676384	NEGATIVE	Olive	Negative 463
514	48639474	NEGATIVE	Yellow	Negative 464
515	29617416	NEGATIVE	Lime	Negative 465
516	47764352	NEGATIVE	Teal	Negative 466
517	50792435	NEGATIVE	Aqua	Negative 467
518	39742442	NEGATIVE	Cyan	Negative 468
519	24684310	NEGATIVE	Lavender	Negative 469
520	70610367	NEGATIVE	Navy	Negative 470
521	57726345	NEGATIVE	Blue	Negative 471
522	10721502	NEGATIVE	BlueViolet	Negative 472
523	52742375	NEGATIVE	Indigo	Negative 473
524	60726465	NEGATIVE	Violet	Negative 474
525	27668419	NEGATIVE	Purple	Negative 475
526	73697323	NEGATIVE	Magenta	Negative 476
527	15719334	NEGATIVE	Fuchsia	Negative 477
528	21643393	NEGATIVE	Orchid	Negative 478
529	37720318	NEGATIVE	Crimson	Negative 479
530	69752425	NEGATIVE	Pink	Negative 480
531	48693431	NEGATIVE	Red	Negative 481
532	64601411	NEGATIVE	Gray	Negative 482
533	24705436	NEGATIVE	Silver	Negative 483
534	15740334	NEGATIVE	Brown	Negative 484
535	24728321	NEGATIVE	Maroon	Negative 485
536	49680446	NEGATIVE	Plum	Negative 486
537	27691388	NEGATIVE	Coral	Negative 487
538	29657357	NEGATIVE	Sienna	Negative 488
539	19612454	NEGATIVE	Tan	Negative 489
540	41705442	NEGATIVE	Orange	Negative 490
541	31645490	NEGATIVE	Gold	Negative 491
542	55673311	NEGATIVE	Khaki	Negative 492
543	31635492	NEGATIVE	Olive	Negative 493
544	64683305	NEGATIVE	Yellow	Negative 494
545	11748306	NEGATIVE	Lime	Negative 495
546	48730356	NEGATIVE	Teal	Negative 496
547	11694363	NEGATIVE	Aqua	Negative 497
548	54665394	NEGATIVE	Cyan	Negative 498
549	28772416	NEGATIVE	Lavender	Negative 499
550	40747444	NEGATIVE	Navy	Negative 500
551	50809407	NEGATIVE	Blue	Negative 501
552	39679476	NEGATIVE	BlueViolet	Negative 502
553	74738436	NEGATIVE	Indigo	Negative 503
554	23734321	NEGATIVE	Violet	Negative 504
555	15783320	NEGATIVE	Purple	Negative 505
