IPI00382922	MARCH1
IPI00296880	MARCH2
IPI00033653	MARCH3
IPI00002144	MARCH4
IPI00414168	MARCH5
IPI00105518	MARCH6
IPI00552856	MARCH8
IPI00797080	MARCH9
IPI00855850	MARCH11
IPI00044767	SEPT4
IPI00794918	SEPT7
IPI00166176	SEPT9
IPI00739119	A26C2
IPI00477130	A26C3
IPI00058228	A3GALT2
IPI00433955	A4GALT
IPI00383879	AADAC
IPI00002230	AADACL1
IPI00640762	AADACL3
IPI00179839	AADACL4
IPI00743272	AAK1
IPI00879228	AASDH
IPI00797912	AATK
IPI00477917	ABCA1
IPI00384874	ABCA10
IPI00782981	ABCA12
IPI00328762	ABCA13
IPI00414303	ABCA2
IPI00619902	ABCA3
IPI00844585	ABCA4
IPI00874173	ABCA5
IPI00295640	ABCA6
IPI00293895	ABCA7
IPI00479296	ABCA8
IPI00216702	ABCA9
IPI00027481	ABCB1
IPI00015826	ABCB10
IPI00184848	ABCB11
IPI00042932	ABCB4
IPI00746222	ABCB5
IPI00742677	ABCB6
IPI00556553	ABCB7
IPI00019022	ABCB8
IPI00418359	ABCB9
IPI00719178	ABCC1
IPI00168635	ABCC10
IPI00186714	ABCC11
IPI00063878	ABCC12
IPI00444148	ABCC12
IPI00216009	ABCC13
IPI00023868	ABCC2
IPI00006674	ABCC3
IPI00006675	ABCC4
IPI00789367	ABCC5
IPI00029455	ABCC6
IPI00816429	ABCC6;LOC730013
IPI00871283	ABCC8
IPI00024278	ABCC9
IPI00291373	ABCD1
IPI00002618	ABCD2
IPI00002372	ABCD3
IPI00023165	ABCD4
IPI00793766	ABCF3
IPI00414196	ABCG1
IPI00298214	ABCG2
IPI00005579	ABCG4
IPI00007839	ABCG5
IPI00007840	ABCG8
IPI00604795	ABHD1
IPI00060569	ABHD12
IPI00064462	ABHD13
IPI00478556	ABHD14A
IPI00031707	ABHD2
IPI00871448	ABHD3
IPI00107039	ABHD6
IPI00292692	ABHD7
IPI00015658	ABHD9
IPI00420082	ABO
IPI00796781	ACAA1
IPI00012525	ACBD3
IPI00604619	ACBD4
