"Category","Gene","sm_45_S1","sm_24_S2","sm_23_S3","sm_28_S4","sm_34_S1","sm_40_S2","sm_44_S3","sm_46_S4","sm_27_S1","sm_51_S2","sm_30_S3","sm_35_S4","sm_36_S1","sm_38_S2","sm_42_S3","sm_47_S4","sm_8_S2","sm_16_S3","sm_17_S4","sm_18_S1","sm_19_S2","sm_21_S3","sm_54_S4","sm_5_S1"
"housekeeping","tpi","0","31","20","16","0","0","0","0","15","22","0","0","13","0","0","1","0","0","0","14","6","0","0","2"
"housekeeping","yqil","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"other","ear","0","45","24","12","0","0","0","0","10","18","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"other","lpl10","0","1","4","0","0","0","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"other","pbp2","0","244","98","106","0","0","0","0","24","152","0","0","30","9","0","6","0","2","0","6","0","0","0","2"
"other","pbp2a","0","31","6","0","0","0","0","0","32","17","0","0","2","0","0","14","0","0","0","0","0","0","0","2"
"other","set16","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"psms","psma1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"psms","psma2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"psms","psma3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"psms","psma4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
