,Estimate,Std. Error,t value,Pr(>|t|)
RUNX1T1,-0.182034329081813,0.0062727481829884,-29.0198687674865,6.53852355457206e-178
TCF12,-0.331514765658034,0.0129594226303102,-25.5809826652824,6.69524854766607e-140
NFKB2,0.241779227197867,0.0117895760363733,20.5078814074337,1.32809970847068e-91
TCF4,-0.167965032994786,0.00850729727574772,-19.7436421404498,3.63922275236559e-85
CEBPA,0.126832613932942,0.00678287618094569,18.6989428303641,9.91520171620715e-77
SMAD1,-0.200051105804586,0.0108880125139184,-18.3735190925668,3.44422582285322e-74
BCL6,-0.188297487082322,0.0107662564430716,-17.4895970644928,1.692996382499e-67
USF1,0.25470901454041,0.0178592697854966,14.2620060954148,1.04808879639146e-45
MED12,-0.249256154003835,0.0180117564835324,-13.8385256447211,3.69469233187458e-43
RARA,-0.172946777341749,0.0127168351552091,-13.5998285132213,9.35565604118912e-42
NFKB1,0.170413400434437,0.0157329441568919,10.831628125991,3.43915528896381e-27
STAT1,0.11187168879722,0.0104302995454641,10.7256448685475,1.07417495143379e-26
RELA,-0.248402222178087,0.023939007461785,-10.3764628744372,4.24254994331047e-25
LYL1,-0.100414199578318,0.0101897694839225,-9.85441326584986,8.31328921313279e-23
TCF3,0.133177130213295,0.0139983243048079,9.51379088763888,2.25932674580237e-21
HEY1,-0.0616625413537388,0.00660006840725357,-9.34271246127854,1.13765394700477e-20
YY1,0.302087243736486,0.0324528032494095,9.30851000497108,1.56636599192941e-20
PAX5,0.0316859138405263,0.00347174546176631,9.12679635920244,8.40525563699566e-20
JMJD1C,-0.131133292489658,0.014853770322194,-8.82828330082114,1.23933357480007e-18
NOTCH1,-0.0881955376103391,0.0102763318500193,-8.58239485621257,1.0659967554265e-17
CEBPB,0.0772263554195023,0.00921200039356139,8.38323405559977,5.8362798807225e-17
STAT5B,-0.149039158861584,0.0179286514603115,-8.31290402356867,1.05415847436933e-16
NCOR1,-0.143488920329928,0.0178263188903281,-8.04927372906923,9.26671610391265e-16
KDM1A,0.139433109608445,0.0176614370558946,7.89477714453073,3.21066706144965e-15
EP300,-0.125911600258643,0.0166944465735679,-7.54212484395846,5.02211197994254e-14
ELF1,0.0990287028382493,0.0132629398535097,7.46657256475788,8.91163343245085e-14
TFAP4,0.10348108843663,0.0141139611096353,7.33182468286564,2.4446956384793e-13
BRD4,-0.150527034897745,0.0205630180559304,-7.32027927458499,2.66330853934913e-13
PHF8,0.120319824968667,0.0167495183283306,7.18347970431812,7.27605857172872e-13
MED1,-0.119074208671748,0.0169096016587448,-7.04181039120866,2.02126046521714e-12
MYC,-0.0524335486482822,0.00760047879407354,-6.89871652417044,5.56227053374828e-12
LMO2,-0.0613466304845911,0.00935570644731666,-6.55713503090791,5.75352012545538e-11
SPI1,-0.0555900983475767,0.00865840460345369,-6.42036274504921,1.42064676460292e-10
MAFK,0.0729224163765174,0.0117392570070437,6.21184256659201,5.44320292184932e-10
RUNX1,0.0446086914676946,0.00751971743397952,5.93222974923503,3.08666978398079e-09
GABPA,-0.105624993154507,0.0195233043934865,-5.41020060055747,6.43938745540934e-08
GATA3,0.0170243579384318,0.00354693825654398,4.79973337765958,1.61157033926753e-06
LMO3,-0.0148768737033464,0.00331183634898281,-4.49203165123652,7.13310896099168e-06
FLI1,-0.042474209605989,0.00978019920244761,-4.3428777601339,1.42001580954674e-05
ERG,-0.0351427794905989,0.00845971754902715,-4.15413154008201,3.29215849139922e-05
NR4A1,-0.0238809825430918,0.00638684267331484,-3.73909046528891,0.000185708483424764
GATA1,-0.0108395425193233,0.00317663529783272,-3.41227163430395,0.000646767937190354
E2F6,-0.0766816871802217,0.0236591027439697,-3.24110715482508,0.00119452611087137
GATA2,-0.0185018066996612,0.00574969279842097,-3.21787743246776,0.00129550883583535
RUNX3,0.0153868072748856,0.00655396713206212,2.34770894709147,0.0189084820213823
EGR1,-0.013872780645744,0.00679467653643757,-2.0417131810983,0.0412059380534074
KLF1,0.00618884210378657,0.00336512013172975,1.83911476010378,0.0659276686248607
TAF1,-0.0327792884913513,0.0179024074674856,-1.83099890620215,0.0671301738103367
FOXO1,-0.0170132693654404,0.0121117164750197,-1.4046951479198,0.16014272620094
ETS1,-0.0109697300603634,0.00973998443540312,-1.12625745278303,0.260083341813845
NFE2,0.00516850808222713,0.00473327112874534,1.09195267747047,0.274879968835661
CTCF,-0.0100337890051564,0.031638312311418,-0.317140462689448,0.75114358392742
TBP,-0.00377278693484067,0.0281666296604055,-0.133945274259922,0.893448520011609
