"CHR","GENE","P","ORIG_SNP","NOHOM_SNP","X1","X2","X3","X4"
6,"HFE",1.29217332678316e-08,14,10,8,10,189,6707
12,"FGF6",1.98809615557825e-06,10,6,6,12,153,6743
21,"KRTAP15-1",7.54732545923641e-05,5,2,11,7,1271,5625
20,"XKR7",0.000118089664287657,7,3,3,15,35,6861
20,"CABLES2",0.00012772217755622,7,5,3,15,36,6860
22,"THOC5",0.000138473657104631,9,6,13,5,1945,4951
18,"CABYR",0.00025398221995953,17,10,5,13,229,6667
3,"CMSS1",0.000308677464985467,10,7,5,13,239,6657
5,"PCDHB2",0.000376816468642741,11,5,3,15,53,6843
9,"ZFP37",0.00106727746196317,16,7,9,9,1137,5759
3,"C3orf30",0.00115608785158925,28,12,13,5,2361,4535
12,"DENND5B",0.0012859399088369,11,7,9,9,1166,5730
6,"MRS2",0.00129915020940821,10,8,4,14,188,6708
6,"BCLAF1",0.00168616211629918,29,20,4,14,202,6694
1,"NBPF3",0.00179253948925603,7,3,9,9,1220,5676
1,"BRDT",0.00231470511245116,20,13,6,12,560,6336
17,"CAMKK1",0.00233167398296431,7,4,9,9,1265,5631
3,"CELSR3",0.00235269253288206,56,32,3,15,102,6794
12,"UHRF1BP1L",0.00235269253288206,40,21,3,15,102,6794
17,"MARCH10",0.00240551433405911,30,17,8,10,1012,5884
9,"LCN15",0.00241597747748384,6,3,5,13,379,6517
20,"MAVS",0.00254959188916936,18,14,7,11,784,6112
9,"ERCC6L2",0.0025672366423978,15,8,4,14,227,6669
10,"CAMK1D",0.00260341336418879,6,3,1,17,0,6896
12,"RHOF",0.00260341336418879,7,4,1,17,0,6896
16,"PDZD9",0.00260341336418879,1,1,1,17,0,6896
8,"PSD3",0.00264489093498683,29,21,7,11,789,6107
4,"AFAP1",0.0028850910477214,21,13,7,11,801,6095
13,"URAD",0.00290633816604456,1,1,8,10,1042,5854
2,"SLC1A4",0.00301907730941303,12,10,5,13,399,6497
3,"ERC2",0.00303186970567541,10,6,2,16,30,6866
12,"DEPDC4",0.00303186970567541,7,4,2,16,30,6866
5,"PCDHB3",0.00405020137197395,20,14,4,14,258,6638
19,"ZNF773",0.00439294403629353,11,7,4,14,264,6632
19,"NCAN",0.00448090224490635,20,9,2,16,37,6859
12,"COQ10A",0.00470948377280648,7,2,2,16,38,6858
19,"CBLC",0.00470948377280648,18,11,2,16,38,6858
4,"SLC4A4",0.00475502544128367,19,12,4,14,270,6626
12,"KRT2",0.00488658012081232,21,13,6,12,650,6246
10,"ALDH18A1",0.00489263299811622,13,8,3,15,133,6763
19,"TM6SF2",0.00494338067429916,12,9,2,16,39,6857
12,"STAT2",0.00518256688554222,12,9,2,16,40,6856
17,"MYH10",0.00520042458354986,14,9,1,17,1,6895
19,"ZNF85",0.00562930382612367,9,4,3,15,140,6756
19,"ZNF772",0.00565639978666285,12,7,7,11,902,5994
21,"UBASH3A",0.00590571149904772,27,18,7,11,909,5987
1,"FCRL3",0.00639589161630951,38,17,9,9,1459,5437
11,"TMEM225",0.00645693141437779,8,4,2,16,45,6851
12,"MYBPC1",0.00667042958110344,14,9,3,15,149,6747
6,"LYRM2",0.00703381685737122,1,1,4,14,302,6594
2,"TTC21B",0.00754081596648706,43,22,7,11,950,5946
7,"FAM221A",0.00756900395661929,10,8,2,16,49,6847
1,"PTPRC",0.00779104847786338,31,18,1,17,2,6894
1,"LAMTOR5",0.00779682906618998,10,6,10,8,1805,5091
3,"STAB1",0.00806135438191253,55,39,8,10,1225,5671
19,"ZNF461",0.00876161266457542,12,9,2,16,53,6843
2,"CYP1B1",0.0088570087950318,14,9,9,9,1530,5366
17,"CAMTA2",0.00906251761388554,17,9,4,14,325,6571
3,"GPR128",0.00906757836857683,31,16,6,12,738,6158
9,"MTAP",0.00916866662535757,2,2,8,10,1251,5645
14,"TMEM260",0.00917262018423123,22,11,5,13,519,6377
6,"BTNL2",0.00925851632546503,32,22,8,10,1253,5643
16,"CORO7,CORO7-PAM16",0.00939319868846759,20,14,5,13,522,6374
10,"C10orf113",0.009670975510538,10,7,6,12,748,6148
3,"FILIP1L",0.0103034300181426,38,17,6,12,758,6138
4,"TBC1D9",0.0103752998347439,12,9,1,17,3,6893
19,"GRAMD1A",0.0103752998347439,11,7,1,17,3,6893
9,"UBAP2",0.010817487286031,36,24,7,11,1015,5881
2,"TSPYL6",0.0112104366763692,14,6,5,13,545,6351
20,"SLCO4A1",0.0115499021871433,20,11,5,13,549,6347
17,"RNF213",0.0122882685972792,144,87,8,10,1313,5583
7,"ASB15",0.0127573687601288,20,11,6,12,793,6103
17,"ABHD15",0.0129093467841944,5,2,6,12,795,6101
19,"SPINT2",0.0129531934097039,8,4,1,17,4,6892
12,"NTN4",0.0131889313594944,12,7,3,15,192,6704
9,"GABBR2",0.0135568231778291,10,6,3,15,194,6702
1,"FLVCR1",0.0137082343798921,10,4,9,9,1633,5263
10,"EXOC6",0.0140642596194647,19,13,8,10,1343,5553
1,"C1orf177",0.0155186879910256,19,11,7,11,1086,5810
17,"NT5C",0.0155247439262222,6,2,1,17,5,6891
17,"MPP3",0.0158774496465408,12,8,2,16,73,6823
12,"SH2B3",0.0164551133656359,16,8,9,9,1679,5217
12,"ARHGAP9",0.0169646572540297,19,14,6,12,843,6053
6,"GPLD1",0.0170237389955033,38,25,11,7,2344,4552
1,"C8A",0.01716298993257,20,14,7,11,1107,5789
15,"HERC1",0.0173070667637686,52,30,8,10,1391,5505
2,"TRAF3IP1",0.0179125414180338,23,15,6,12,853,6043
17,"FOXK2",0.0180899660758066,20,17,1,17,6,6890
1,"CASP9",0.0181998929207735,14,9,8,10,1403,5493
11,"OR51B5",0.0183010588128255,20,12,12,6,2723,4173
16,"SYCE1L",0.0184284502093296,3,3,8,10,1406,5490
17,"ARSG",0.0188263558985779,19,14,13,5,3110,3786
11,"OR52K1",0.0188298817981825,8,2,5,13,620,6276
11,"PANX1",0.0195069296186693,13,8,6,12,869,6027
12,"GLI1",0.0198167374639486,20,13,6,12,872,6024
22,"C22orf24",0.0201152545942094,6,4,2,16,83,6813
1,"CDCP2",0.0201300230506441,19,12,6,12,875,6021
11,"B4GALNT4",0.0206488745180584,9,6,1,17,7,6889
5,"SETD9",0.0208333228848295,7,4,7,11,1149,5747
1,"KIF17",0.0210213396781562,38,27,7,11,1151,5745
20,"CHGB",0.0213435849898173,28,23,8,10,1442,5454
