"CHR","GENE","P","ORIG_SNP","NOHOM_SNP","X1","X2","X3","X4"
12,"KRT73",0.0214431899968797,23,14,3,15,231,6665
11,"SLC35C1",0.0219299491362612,9,3,2,16,87,6809
19,"TIMM50",0.0224201352334294,12,6,3,15,235,6661
6,"BTN1A1",0.022834710986431,17,8,8,10,1459,5437
20,"GTSF1L",0.0232014838807396,10,4,1,17,8,6888
7,"TAX1BP1",0.0233344765637676,14,6,2,16,90,6806
2,"ANXA4",0.0234215699150321,8,6,3,15,239,6657
12,"FAM186A",0.0242101112911514,32,27,5,13,661,6235
4,"TBC1D1",0.0243056999273762,27,11,7,11,1184,5712
12,"KRT76",0.0247994448254731,24,12,4,14,439,6457
1,"SSX2IP",0.0248919729529497,5,3,6,12,917,5979
1,"AKNAD1",0.024974400152994,27,14,8,10,1482,5414
22,"MICAL3",0.0252597202225497,46,33,6,12,920,5976
2,"OSBPL6",0.0257478087598343,16,8,1,17,9,6887
22,"GNB1L",0.0257478087598343,10,6,1,17,9,6887
1,"RPF1",0.0257559319786034,16,14,6,12,924,5972
7,"PVRIG",0.0261061467941271,7,3,4,14,446,6450
1,"DPYD",0.0262603087395551,46,26,5,13,675,6221
18,"POLI",0.0265623159081206,24,14,5,13,677,6219
8,"GGH",0.0266790033520914,4,2,4,14,449,6447
2,"PSME4",0.0273274126056772,23,15,5,13,682,6214
2,"KLF11",0.0282774967835207,19,12,2,16,100,6796
13,"NDFIP2",0.0282774967835207,3,3,2,16,100,6796
22,"PES1",0.028287863719614,11,4,1,17,10,6886
14,"ABCD4",0.0288766540035512,24,17,6,12,948,5948
15,"AP4E1",0.0295870666830122,17,10,8,10,1527,5369
3,"CAND2",0.0300144777443378,45,33,10,8,2175,4721
2,"GALNT14",0.0300721763418519,15,11,4,14,466,6430
22,"TBC1D10A",0.0303638371309161,11,7,2,16,104,6792
5,"CAST",0.0303907769688442,29,19,6,12,959,5937
5,"OSMR",0.03052938052712,35,17,3,15,265,6631
10,"CRTAC1",0.0308216632927053,26,18,1,17,11,6885
15,"RMDN3",0.0308216632927053,6,3,1,17,11,6885
13,"SLC10A2",0.0314297159883713,20,15,2,16,106,6790
8,"FAM83A",0.0320152514182615,10,6,3,15,270,6626
10,"DOCK1",0.0330562780648218,28,20,4,14,480,6416
7,"HEATR2",0.0331016044427363,28,13,11,7,2555,4341
21,"GRIK1",0.0333492219801481,16,7,1,17,12,6884
4,"CEP135",0.0334967031510717,37,18,4,14,482,6414
12,"CLEC4C",0.0334967031510717,6,1,4,14,482,6414
5,"SH3RF2",0.033654139856718,25,17,7,11,1263,5633
8,"TOP1MT",0.033768721567424,35,21,9,9,1880,5016
2,"ZNF804A",0.033882238046919,32,19,6,12,983,5913
9,"ZNF462",0.0340333974453011,40,26,6,12,984,5912
14,"C14orf159;C14orf159",0.034156040916271,1,1,5,13,723,6173
17,"FTSJ3",0.0343370954730842,25,14,6,12,986,5910
8,"MCMDC2",0.0352766826910586,15,11,2,16,113,6783
11,"OR10S1",0.035293933180869,14,8,4,14,490,6406
5,"SLCO6A1",0.0355225943156785,24,14,4,14,491,6405
17,"AIPL1",0.0357375435321309,19,13,3,15,282,6614
4,"CC2D2A",0.035870554251465,40,21,1,17,13,6883
16,"COG4",0.035870554251465,19,9,1,17,13,6883
17,"RABEP1",0.035870554251465,6,3,1,17,13,6883
7,"PTPRN2",0.0363462204482573,29,24,5,13,735,6161
6,"HCRTR2",0.0370271813565987,9,3,3,15,286,6610
16,"MAPK8IP3",0.0370271813565987,12,8,3,15,286,6610
3,"SEMA5B",0.0373533988515544,19,12,3,15,287,6609
7,"MCM7",0.0373840610072193,22,13,4,14,499,6397
1,"AGT",0.0377933585853678,29,17,7,11,1293,5603
1,"AVPR1B",0.0383856745447221,14,8,1,17,14,6882
10,"PANK1",0.0383856745447221,5,3,1,17,14,6882
15,"CHRNB4",0.0383856745447221,12,8,1,17,14,6882
2,"MSGN1",0.0385163826796931,4,2,7,11,1298,5598
12,"DDN",0.0386191756397097,6,2,6,12,1013,5883
2,"DAW1",0.0390072917858664,16,9,3,15,292,6604
16,"ZFPM1",0.0392827721854884,8,6,6,12,1017,5879
18,"MAPK4",0.0392827721854884,12,6,6,12,1017,5879
19,"CD33",0.0396794742171874,15,9,3,15,294,6602
6,"TMEM244",0.0402543109218777,10,8,11,7,2623,4273
2,"PARD3B",0.0410506118533149,45,26,9,9,1941,4955
7,"ZNF316",0.041754521204406,1,1,8,10,1625,5271
10,"PTPLA",0.0417825755590958,7,3,4,14,517,6379
11,"TP53AIP1",0.0420797775193485,6,6,3,15,301,6595
1,"APOBEC4",0.042188636630063,15,11,6,12,1034,5862
7,"ZMIZ2",0.0422893484426236,16,13,4,14,519,6377
3,"CCDC71",0.0423639171742989,10,6,6,12,1035,5861
3,"EFCC1",0.0424325417870632,4,4,7,11,1324,5572
11,"OR5A2",0.0425440925061497,8,3,4,14,520,6376
21,"KRTAP27-1",0.0431711755426109,10,5,8,10,1635,5261
6,"KLHL32",0.0433973367924281,7,5,1,17,16,6880
6,"PRSS16",0.0433973367924281,9,2,1,17,16,6880
22,"CCDC157",0.0433973367924281,24,13,1,17,16,6880
3,"TSC22D2",0.0435721270634547,9,4,4,14,524,6372
20,"EMILIN3",0.0441959745319045,20,14,3,15,307,6589
8,"PRSS55",0.0443241867718919,20,14,6,12,1046,5850
14,"DCAF11",0.0446146691737228,13,7,4,14,528,6368
15,"MCTP2",0.0449133851689032,40,17,3,15,309,6587
10,"C10orf71",0.0449160533769876,39,29,8,10,1647,5249
1,"ZMYND12",0.045144134977839,9,5,5,13,779,6117
11,"AMICA1",0.0453002594607398,15,7,7,11,1342,5554
12,"METTL20",0.0458939074663062,7,1,1,17,17,6879
16,"CPPED1",0.0458939074663062,21,14,1,17,17,6879
11,"OR51I1",0.0461199708161867,23,15,7,11,1347,5549
19,"PKN1",0.0465846168577766,13,9,2,16,132,6764
11,"CRACR2B",0.0470135178468115,7,5,4,14,537,6359
4,"LRIT3",0.0475355711997773,27,14,5,13,790,6106
8,"DLGAP2",0.0477898866786276,15,8,7,11,1357,5539
1,"PKP1",0.0478428001285173,25,18,3,15,317,6579
1,"GJB4",0.0483843236011097,16,12,1,17,18,6878
5,"ANKDD1B",0.0483843236011097,1,1,1,17,18,6878
12,"LRRC43",0.048590039705308,27,18,3,15,319,6577
13,"MTUS2",0.0491175260913322,45,31,2,16,136,6760
12,"VWF",0.0491813723954539,73,35,8,10,1675,5221
11,"KIF18A",0.0494860501559607,16,9,4,14,546,6350
18,"EPG5",0.0496741438901065,70,39,7,11,1368,5528
9,"ARID3C",0.050131261563091,6,3,8,10,1681,5215
5,"JMY",0.0503667615608706,11,8,6,12,1078,5818
2,"NMI",0.0503717221419486,9,5,7,11,1372,5524
3,"OXNAD1",0.0503717221419486,13,6,7,11,1372,5524
5,"MAST4",0.0508685994785829,31,23,1,17,19,6877
5,"DNAH5",0.0509772435356675,153,89,15,3,4304,2592
1,"OR2W3",0.051210265374365,14,10,9,9,2014,4882
21,"LTN1",0.0519061203322559,25,16,8,10,1692,5204
13,"STARD13",0.0520258213230815,39,22,3,15,328,6568
1,"DIEXF",0.0520323661546257,15,11,4,14,555,6341
1,"PBX1",0.0524149365011882,1,1,3,15,329,6567
20,"RAD21L1",0.0525623105299806,9,7,8,10,1696,5200
4,"MANBA",0.0527315555639895,20,9,9,9,2024,4872
17,"TMC6",0.0528055178075867,18,11,3,15,330,6566
11,"OR2D3",0.0528854526132099,12,9,9,9,2025,4871
2,"GTDC1",0.0532242879941319,24,14,8,10,1700,5196
17,"MRPL45",0.0533467493493961,13,4,1,17,20,6876
17,"SPNS3",0.0537861267067917,26,21,6,12,1095,5801
17,"C17orf74",0.0539918443741947,11,9,6,12,1096,5800
4,"HPSE",0.0543824691036703,14,12,3,15,334,6562
17,"EFCAB5",0.05439673807886,40,30,8,10,1707,5189
7,"KCNH2",0.0551796952461496,10,7,3,15,336,6560
5,"PCDHB16",0.0558187874332075,15,12,1,17,21,6875
5,"FABP6",0.0562885358778748,12,8,6,12,1107,5789
19,"ZNF548",0.0563384770103109,11,7,2,16,147,6749
18,"LIPG",0.0582608592741044,14,8,4,14,576,6320
7,"KMT2C",0.0582847279187271,72,32,1,17,22,6874
19,"THEG",0.0582847279187271,26,17,1,17,22,6874
10,"RRP12",0.0584304557159642,25,16,6,12,1117,5779
21,"KRTAP12-3",0.0585674744355365,4,2,4,14,577,6319
1,"SPATA6",0.0588650418832433,10,4,6,12,1119,5777
12,"MYO1H",0.0593017010015766,22,16,6,12,1121,5775
2,"TBC1D8",0.0601592534514028,28,18,5,13,843,6053
9,"ZNF79",0.0601812472797362,15,8,6,12,1125,5771
5,"NSD1",0.060428577612675,35,18,2,16,153,6743
16,"CES5A",0.060428577612675,23,18,2,16,153,6743
5,"LARS",0.0607392538274285,21,12,4,14,584,6312
2,"PNPT1",0.0607445849637807,17,8,1,17,23,6873
6,"KCNQ5",0.0607445849637807,11,5,1,17,23,6873
12,"NCKAP1L",0.0607445849637807,19,11,1,17,23,6873
17,"MYBBP1A",0.0607445849637807,77,49,1,17,23,6873
1,"ANXA9",0.0611202754909525,19,7,2,16,154,6742
13,"SCEL",0.0625120968858913,23,9,2,16,156,6740
2,"LONRF2",0.0627479064145371,10,5,5,13,853,6043
1,"OR14C36",0.06326563590957,10,7,7,11,1440,5456
11,"ACP2",0.06327581071971,11,8,4,14,592,6304
14,"DNAAF2",0.063470110466613,17,14,7,11,1441,5455
2,"ZAK",0.0634859970951518,20,14,8,10,1758,5138
1,"HSPG2",0.0639190241463762,134,95,4,14,594,6302
15,"DUOX1",0.064067037028275,38,23,5,13,858,6038
2,"ABHD1",0.06462063228606,19,13,2,16,159,6737
16,"BCO1",0.064706156645863,21,16,7,11,1447,5449
11,"ST5",0.0651902237955207,13,9,9,9,2099,4797
3,"IQCG",0.065328955861696,21,12,2,16,160,6736
15,"WHAMM",0.065328955861696,15,11,2,16,160,6736
14,"C14orf39",0.0655429137591016,15,10,4,14,599,6297
3,"PIK3CA",0.0656461052097382,5,3,1,17,25,6871
14,"SLC24A4",0.0656461052097382,27,14,1,17,25,6871
2,"GCKR",0.065867554802618,33,19,6,12,1150,5746
3,"ARHGEF3",0.0661988056260853,13,8,4,14,601,6295
20,"ANKEF1",0.0661988056260853,31,17,4,14,601,6295
14,"OXA1L",0.0667537177619357,16,9,2,16,162,6734
11,"LRRC56",0.067300540550354,15,13,5,13,870,6026
11,"USP2",0.0680877965724305,20,14,1,17,26,6870
2,"MPHOSPH10",0.0681881701023784,15,11,4,14,607,6289
1,"SLC6A17",0.0693740149278987,13,10,7,11,1469,5427
11,"KDM4D",0.0709601438593325,10,4,3,15,373,6523
1,"MROH7",0.0710888868682509,52,34,9,9,2131,4765
2,"CLIP4",0.071091699790148,14,12,2,16,168,6728
19,"OR7G3",0.0712330736789082,14,10,4,14,616,6280
9,"OR13D1",0.0718677624442802,6,2,3,15,375,6521
17,"GGT6",0.0722642256361969,9,7,4,14,619,6277
22,"MLC1",0.0725584779225809,12,5,2,16,170,6726
1,"BECN1P1",0.0726157142017713,1,1,5,13,889,6007
3,"CAPN7",0.0729531119518551,13,9,1,17,28,6868
11,"PGM2L1",0.0734768725125808,10,8,5,13,892,6004
11,"DYNC2H1",0.0736261802564299,94,58,6,12,1182,5714
2,"SNTG2",0.0741894111381471,24,17,8,10,1812,5084
7,"COBL",0.0742570369688988,39,25,7,11,1491,5405
16,"GPR56",0.0743983489636597,12,9,8,10,1813,5083
19,"MAN2B1",0.0744841429564579,30,21,7,11,1492,5404
10,"SRGN",0.0747776736695773,5,5,2,16,173,6723
12,"SLCO1B3",0.0762696317837622,16,11,2,16,175,6721
5,"MRPS27",0.0763905802179794,13,7,5,13,902,5994
19,"TBC1D17",0.0769334006173293,14,7,6,12,1195,5701
4,"RBM47",0.0769570095765783,8,4,3,15,386,6510
13,"ELF1",0.0771827789808176,20,10,4,14,633,6263
11,"TCIRG1",0.0777944307464269,17,15,1,17,30,6866
13,"RNF113B",0.0777944307464269,11,5,1,17,30,6866
3,"PRRT3",0.0783732945734957,11,8,3,15,389,6507
3,"UMPS",0.0785259852152132,12,5,2,16,178,6718
11,"OR6X1",0.0785259852152132,13,9,2,16,178,6718
11,"CCDC34",0.0799746758563554,16,10,5,13,914,5982
22,"KDELR3",0.0800717566462313,16,5,4,14,641,6255
2,"ACVR1C",0.0802061262638706,8,5,1,17,31,6865
3,"HSPBAP1",0.0802061262638706,12,6,1,17,31,6865
4,"REST",0.0802061262638706,17,12,1,17,31,6865
19,"GGN",0.0802061262638706,9,7,1,17,31,6865
20,"LPIN3",0.0807604027430689,30,21,3,15,394,6502
7,"PILRA",0.0808028612275238,9,5,4,14,643,6253
11,"OR51F1",0.0811906034666519,18,12,5,13,918,5978
11,"ZNF214",0.0811906034666519,21,11,5,13,918,5978
11,"CCDC153",0.0817245059046943,6,3,3,15,396,6500
16,"PDILT",0.0819611686716728,35,19,8,10,1848,5048
19,"WDR87",0.0819898518236054,28,25,7,11,1524,5372
16,"BRICD5",0.0820758696615427,11,9,9,9,2186,4710
4,"MMRN1",0.0826118643817509,36,20,1,17,32,6864
11,"SMPD1",0.0826938682914229,26,20,3,15,398,6498
22,"EMID1",0.0831034014978629,9,5,2,16,184,6712
3,"LSG1",0.0841364909763148,32,23,4,14,652,6244
12,"WDR66",0.0841364909763148,31,23,4,14,652,6244
19,"ZNF527",0.0846479148107229,13,7,2,16,186,6710
19,"ZNF671",0.0846479148107229,10,7,2,16,186,6710
4,"C4orf19",0.0846482838951221,11,5,3,15,402,6494
15,"EFTUD1",0.085011658952471,21,12,1,17,33,6863
19,"BEST2",0.085011658952471,9,6,1,17,33,6863
10,"DUSP13",0.0854588230677333,22,14,6,12,1227,5669
1,"LUZP1",0.0862015730885087,29,18,2,16,188,6708
16,"MRPL28",0.0862015730885087,7,5,2,16,188,6708
1,"OR2G3",0.0862861893314215,21,12,6,12,1230,5666
4,"FAT4",0.0865030299419769,99,60,8,10,1868,5028
12,"ANKRD33",0.0871204969834443,18,12,3,15,407,6489
12,"WNK1",0.0873968483899753,39,24,6,12,1234,5662
11,"CAPN1",0.0874055237982349,16,12,1,17,34,6862
17,"GPR179",0.0874055237982349,75,41,1,17,34,6862
8,"MYOM2",0.0878971041243357,103,65,8,10,1874,5022
3,"DRD3",0.0883073958834324,9,4,4,14,663,6233
9,"CCDC107",0.0886192611152817,9,5,3,15,410,6486
14,"FAM181A",0.0886848124476517,10,7,7,11,1551,5345
11,"OR5AN1",0.0886918006616696,8,4,4,14,664,6232
14,"RABGGTA",0.0890300590430816,11,6,5,13,943,5953
4,"NUDT6",0.0894632153935556,10,6,4,14,666,6230
19,"SIGLEC8",0.0897934727111048,10,7,1,17,35,6861
2,"IL37",0.0902380984619444,10,6,4,14,668,6228
12,"ITGA7",0.0904749709909232,36,23,7,11,1558,5338
11,"OR51B6",0.0909905722954805,24,19,7,11,1560,5336
1,"FCRL4",0.0917096115105864,30,18,2,16,195,6701
10,"ZNF365",0.0920272825912651,22,12,7,11,1564,5332
2,"C2orf88",0.0921609045027895,5,3,3,15,417,6479
11,"RSF1",0.0921609045027895,31,19,3,15,417,6479
3,"DNASE1L3",0.0921755194530648,9,6,1,17,36,6860
6,"PXT1",0.0921904380862328,3,1,4,14,673,6223
3,"DNAJB11",0.0925051893387255,7,3,2,16,196,6700
1,"GSTM3",0.0925834935321979,8,5,4,14,674,6222
2,"ASTL",0.0927896182125638,12,8,6,12,1253,5643
2,"GCFC2",0.0928096370160913,25,15,7,11,1567,5329
2,"BAZ2B",0.0942123939297495,38,27,3,15,421,6475
5,"ADRB2",0.0943976802390123,6,6,9,9,2242,4654
16,"NLRC3",0.0945516777560818,32,20,1,17,37,6859
7,"IQCE",0.0948252064592372,30,19,6,12,1260,5636
17,"ENO3",0.0948252064592372,8,6,6,12,1260,5636
5,"PCDHB11",0.0949046639204473,14,10,2,16,199,6697
11,"MS4A14",0.0949295383507416,34,16,5,13,961,5935
3,"ARHGEF26",0.0952456156209652,14,9,3,15,423,6473
4,"C4orf33",0.0952456156209652,9,6,3,15,423,6473
2,"MLPH",0.0957640854109306,27,18,3,15,424,6472
1,"CENPF",0.0960288514166738,99,55,12,6,3346,3550
2,"SLC4A1AP",0.0962952697044051,16,7,6,12,1265,5631
22,"SREBF2",0.0973268949885737,17,11,3,15,427,6469
13,"SETDB2",0.0981762380851348,10,7,4,14,688,6208
14,"MTHFD1",0.0986733596408258,14,10,7,11,1589,5307
1,"SNAP47",0.0986752099814653,19,15,6,12,1273,5623
4,"KLHL5",0.0989007422393202,13,8,3,15,430,6466
13,"VWA8",0.0989888309663123,52,24,4,14,690,6206
13,"CPB2",0.099275545394971,11,5,6,12,1275,5621
18,"TTR",0.0992863838234307,7,4,1,17,39,6857
21,"COL6A1",0.0993963974243305,20,17,4,14,691,6205
1,"TPR",0.0994277968103426,27,19,3,15,431,6465
5,"CDH12",0.0994277968103426,14,9,3,15,431,6465
8,"KLHL38",0.0994277968103426,18,12,3,15,431,6465
2,"TFPI",0.0998048093116946,7,5,4,14,692,6204
22,"HPS4",0.100180058756423,33,24,6,12,1278,5618
1,"PHC2",0.100485546081945,13,8,3,15,433,6463
18,"FHOD3",0.100624165592726,28,22,4,14,694,6202
1,"OR10Z1",0.101548128643017,16,9,3,15,435,6461
1,"OR10J3",0.101644958902159,11,6,1,17,40,6856
4,"GRID2",0.101644958902159,11,4,1,17,40,6856
7,"TNS3",0.101644958902159,43,30,1,17,40,6856
12,"ARNTL2",0.101644958902159,14,11,1,17,40,6856
11,"ABCC8",0.10173308258053,30,14,5,13,981,5915
5,"FAM114A2",0.102427740453945,16,4,5,13,983,5913
3,"VILL",0.103036455980422,23,14,2,16,209,6687
3,"OR5H6",0.103102425376317,3,3,4,14,700,6196
20,"PABPC1L",0.103151011567744,10,7,3,15,438,6458
22,"PNPLA3",0.103636729097873,24,12,7,11,1607,5289
2,"ATP6V1C2",0.103824822938411,13,6,5,13,987,5909
12,"CLIP1",0.103824822938411,21,12,5,13,987,5909
4,"C4orf22",0.103860560777484,11,5,2,16,210,6686
10,"SLIT1",0.103997700170857,17,10,1,17,41,6855
19,"ZNF230",0.104686594536035,15,9,2,16,211,6685
11,"OR5B3",0.104879419224959,11,9,5,13,990,5906
2,"FSIP2",0.105890601897514,67,54,7,11,1615,5281
15,"ITGA11",0.106020233522019,37,24,6,12,1297,5599
6,"TNXB",0.106174410030237,165,77,7,11,1616,5280
20,"BPIFA3",0.106174410030237,14,14,7,11,1616,5280
22,"SMTN",0.106344392179677,23,15,2,16,213,6683
12,"PHLDA1",0.106344621212318,8,4,1,17,42,6854
11,"DLAT",0.107006013272623,13,10,5,13,996,5900
19,"ATF5",0.107028599555354,7,4,7,11,1619,5277
1,"TAS1R2",0.107589095305404,36,22,6,12,1302,5594
16,"CETP",0.107723976953682,34,17,4,14,711,6185
1,"URB2",0.107886936415635,36,19,7,11,1622,5274
18,"CTDP1",0.10800973592739,15,11,2,16,215,6681
12,"EEA1",0.10807798986993,24,15,5,13,999,5897
1,"ECE1",0.108685735579685,17,6,1,17,43,6853
8,"NEFM",0.108685735579685,22,13,1,17,43,6853
13,"N4BP2L2",0.108845202514671,30,19,2,16,216,6680
19,"LRRC25",0.109429377775695,10,6,4,14,715,6181
7,"TECPR1",0.109682513642755,21,13,2,16,217,6679
17,"CALCOCO2",0.109857783690556,11,7,4,14,716,6180
8,"ASAH1",0.110196105761121,27,17,7,11,1630,5266
1,"CAPN9",0.110717054847248,36,30,4,14,718,6178
15,"FAN1",0.110766669802869,34,12,6,12,1312,5584
17,"ABCA9",0.111021056796507,33,18,1,17,44,6852
19,"ALKBH7",0.111021056796507,3,1,1,17,44,6852
7,"WDR91",0.111324810935242,10,8,3,15,453,6443
1,"MIA3",0.111362614031926,45,26,2,16,219,6677
22,"CDPF1",0.111362614031926,5,2,2,16,219,6677
1,"RHBG",0.112405300029526,17,15,10,8,2672,4224
10,"CUBN",0.112479435478124,127,74,8,10,1971,4925
19,"TJP3",0.113124009635482,35,18,7,11,1640,5256
2,"ASAP2",0.113314464301479,12,4,4,14,724,6172
1,"MYBPHL",0.113350598356802,17,13,1,17,45,6851
4,"KIT",0.113350598356802,16,11,1,17,45,6851
11,"DDIAS",0.113715112528607,20,11,7,11,1642,5254
11,"OR5B17",0.114261207096724,17,11,5,13,1016,5880
15,"VPS13C",0.114650717543752,82,52,10,8,2681,4215
8,"SNX31",0.114902836958779,17,12,7,11,1646,5250
11,"CHID1",0.115200917423948,11,5,7,11,1647,5249
12,"AKAP3",0.115594178881844,33,20,2,16,224,6672
20,"ITPA",0.115674373725115,8,5,1,17,46,6850
6,"HSPA1L",0.115742783780535,38,17,5,13,1020,5876
7,"CALCR",0.116069014668271,15,7,8,10,1984,4912
5,"TCOF1",0.116114758827314,42,24,5,13,1021,5875
2,"SP140L",0.116290080775976,13,7,6,12,1329,5567
19,"SUGP2",0.116353549663139,26,17,3,15,462,6434
7,"AOC1",0.117234470281467,31,16,5,13,1024,5872
17,"HELZ",0.117299044239199,25,16,2,16,226,6670
19,"GFY",0.117483420185395,2,2,3,15,464,6432
2,"STK36",0.117611866535774,33,25,6,12,1333,5563
6,"GABRR1",0.117611866535774,11,9,6,12,1333,5563
