V1	V2	V3
107	REL	8	27440135;26939566;25397881;24678426;24566686;24489016;22328738;22170493
108	CTLA4	28	30224649;28681901;28477078;27988812;25189266;24587950;22355377;21503616;20113255;20017994;19856886;19333938;19300490;18718877;18466531;18466513;17154080;15278761;15245375;15018649
109	TRAF1	41	31530986;28681901;27893701;27536202;27019110;25834819;25351936;24489016;24338224;24321457;24234752;24076437;24040234;23321589;23125866;22284611;22196377;21492465;21383967;20822712
110	C5	36	31530986;28681901;25834819;25725109;25351936;24338224;24234752;24076437;24040234;23321589;22284611;22196377;21492465;21383967;20822712;20219786;20205706;20049410;20018077;20018071
111	C6orf10	2	28560257;27508393
112	GATSL3	0	
113	TNFRSF14	2	28925718;19644859
114	RBPJ	2	26604133;25014791
115	HLA–DRB1	0	
116	KIF5A	7	23378462;23160276;22328738;20508602;20049410;19644859;19110536
117	CDH6	0	
118	SMTNL2	0	
119	GGT6	0	
120	CD200R1	0	
121	GJA5	0	
122	ACP6	0	
123	C10orf90	0	
124	DOCK1	0	
125	LINC00845	0	
126	TMEM26	0	
127	NAV2	0	
128	MIR4277	0	
129	MRPL36	0	
130	GABBR2	0	
131	ZNF595	0	
132	ZNF718	0	
133	ADGRL4	0	
134	LOC101927412	0	
135	FAR1	0	
136	SPON1	0	
137	CSMD3	0	
138	RAD51B	4	28361912;27744395;24532676;24022229
139	LOC286114	0	
140	LOC101929172	0	
141	CADM2	0	
142	VGLL3	0	
143	KIAA0391	0	
144	DLG2	0	
145	NEBL	0	
146	EMCN	1	21159824
147	FTO	0	
148	BRINP1	0	
149	LINC01613	0	
150	MMP20	1	28266114
151	MMP27	0	
152	MMEL1	4	28925718;21765104;20049410;19644859
153	CDK6	4	25138370;21586211;20049410;19644859
154	CCL21	10	28799100;27440135;26821282;23007924;22355377;22328738;21586211;20461788;20049410;19644859
155	PIP4K2C	3	23378462;19644859;19110536
156	CD40	19	30402903;29254239;27813548;25908480;25201689;24587950;23696745;23166616;22505696;22355377;22302395;21914625;21645569;20634952;20049410;19644859;17009241;12699431;9836376
157	PRKCQ	4	25904084;22046267;20049410;19644859
158	TNFIP3	0	
159	B3GNT2	2	30552173;28969061
160	ANXA3	0	
161	CSF2	2	28054948;25652333
162	CD83	0	
163	ARID5B	1	23118423
164	PDE2A	0	
165	ARAP1	0	
166	PLD4	1	28969061
167	ETS1	3	28681901;24532676;23101665
168	FLI1	1	24532676
169	GCH1	0	
170	PRKCH	3	21611967;21362769;17195206
171	ZNF774	0	
172	PRKCB1	0	
173	IRF8	0	
174	IRX1	1	26815016
175	GRM5	0	
176	RNASEH2B	0	
177	FAM124A	0	
178	CLYBL	1	24532677
179	MICA	11	28752674;25256191;25060517;21702010;19409079;17003176;15077289;14730600;14630402;11491503;11407684
180	HLA-B	13	28560257;25580908;25223600;24532677;24092415;22286218;20854863;15077289;9203029;9034866;1355065;1672123;2573586
181	SMIM21	0	
182	UBASH3A	4	30822156;29262569;24532676;21383967
183	TNFSF4	3	30468820;25652333;24532676
184	SYNGR1	3	29262569;26993500;24532676
185	LBH	3	30549979;27159840;24532676
186	EOMES	1	24532676
187	POU3F1	0	
188	CD2	3	26939566;24776925;20194224
189	FCRL3	29	26746625;26350270;24117236;23961660;23883198;23777926;23463945;23070121;22392608;22386693;21885492;21078711;20190142;19690864;18087673;18065500;17961971;17868046;17763442;17200162
190	FCGR2A	15	27270653;27074847;27044681;26314337;25848939;25823785;25823782;24802006;24667440;22467926;21607711;18930989;18843786;16277670;12486608
191	PTPRC	10	27074847;26939566;25834819;25147926;24040234;22355377;21952740;20847201;20309874;15018649
192	SPRED2	0	
193	CD28	15	30224649;28477078;27988812;27808571;25510954;24587950;23007924;22355377;22328738;21508506;20113255;14730598;11426322;11196673;11098935
194	RPP14	0	
195	C4orf52	0	
196	C5orf30	1	27744395
197	TAGAP	6	29329296;23453471;22355377;22127930;21390051;21120996
198	IR2RA	0	
199	GATA3	1	24120647
200	CD5	0	
201	DDX6	2	26939566;21383967
202	OS9	0	
203	RASGRP1	1	26939566
204	KIF23	0	
205	TLE3	1	26939566
206	IKZF3	1	26939566
207	GSDMB	1	25904084
208	RCAN1	0	
209	ICOS	3	25014791;20113255;19333938
210	ORMDL3	0	
211	IRAK1	7	28451396;28207326;27581002;25269878;23233309;22451023;20870441
212	TMEM187	0	
213	HCFC1	0	
214	SLC9A9	0	
215	RSBN1	0	
216	RAVER1	0	
217	DNASE1L3	1	30224649
218	PXK	2	22355377;19714582
219	GIN1	0	
220	ELMO1	1	30643265
221	SETP16	0	
222	TNFSF18	1	28681901
223	TNFSF4	3	30468820;25652333;24532676
224	TNIP1	4	25397881;22170493;21362769;20849588
225	ACTN1	0	
226	NA	1	15795384
227	IL6ST	1	22130326
228	CD247	4	27118209;23861880;22294642;21383967
229	BATF	0	
230	KIF3	0	
231	DPP4	0	
232	CDK5RAP2	0	
233	MHC	91	31549885;30936065;30505369;29551506;29317506;28081217;27998952;27783394;27303036;27182695;26919467;26879349;26844284;26272072;25794145;25636569;25541434;25256191;25189266;25014791
234	VPS37C	0	
235	ACOXL	0	
236	ATM	1	22505696
237	C1QBP	0	
238	CCL19	0	
239	CD226	14	29319370;27440135;25645050;24040234;23999715;23073294;22941566;22302395;21765104;21286723;20508602;20444755;19536154;18971939
240	CDK2	0	
241	CDK4	0	
242	CEP57	0	
243	CASP8	1	28978351
244	CFLAR	0	
245	CLNK	0	
246	CXCR5	0	
247	ABHD6	0	
248	FADS1	0	
249	FADS2	1	21629299
250	FADS3	0	
251	GRHL2	0	
252	IFNGR2	0	
253	CSF3	0	
254	IL20RB	0	
255	IL3	0	
256	IRF4	0	
257	LOC100506023	1	26879349
258	LOC145837	0	
259	LOC339442	0	
260	MED1	0	
261	MTF1	0	
262	INPP5B	0	
263	P2RY10	0	
264	PLCL2	2	27440135;22328738
265	AHNAK2	1	28969061
266	PPIL4	0	
267	PVT1	0	
268	LOC100506403	0	
269	SFTPD	0	
270	PTPN11	2	25979711;25147926
271	TEC	1	20639398
272	TNFRSF9	1	28681901
273	TPD52	0	
274	TRAF6	4	30506403;22589256;22231568;21910999
275	RAG1	0	
276	RAG2	0	
277	TXNDC11	0	
278	YDJC	0	
279	WDFY4	0	
280	ZNF438	0	
