V1	V2	V3
1	HLA-DQA2	0	
2	HLA-DQB1	15	29321349;24381092;24076437;23678157;22286218;17144392;16690410;15077289;11752507;11454644;11345587;9796911;9442804;9410900;1979063
3	PTPN22	159	30871019;30637604;30402903;30306282;30224649;30139951;29729713;29040339;28653215;28500376;28424905;28291534;28237724;27744395;27440135;27324632;27215233;27166176;26951256;26879349
4	STAT4	62	30864557;30505369;30511928;30463656;29071117;28524764;28424905;28107378;27960128;27440135;27234231;27178308;25979711;25963842;25351936;25189266;25179669;24979672;24751105;24489016
5	PTPN2	7	30511928;28107378;27342690;25652333;23840476;22294642;22021207
6	ANKRD55	4	27167565;27019110;22355377;22130326
7	IL2	12	26917059;24342660;22355377;22328738;21875375;21765104;20553587;19455118;19302705;18369459;17999365;10976081
8	IL21	10	30924147;26917059;24342660;21765104;20553587;20049410;19455118;19302705;18369459;17999365
9	TYK2	8	31057722;30224649;29071117;27440135;25652333;25147926;19714582;18781962
10	IL2RA	11	31134763;30224649;28681901;28234966;26939566;24200909;22355377;22294642;22130326;21875375;19116909
11	SH2B3	5	30224649;27744395;25979711;21383967;20508602
12	ATXN2	0	
13	ERAP2	0	
14	LNPEP	0	
15	UBE2L3	2	22045845;21383967
16	IRF1	2	25014791;21362769
17	C5orf56	0	
18	RUNX1	10	24972750;22449398;20018071;18328148;18087673;16821265;16519819;16030086;15838240;14608356
19	IL2RB	6	31134763;25221852;24200909;22355377;21875375;20049410
20	ATP8B2	0	
21	IL6R	8	30647443;26939566;26336855;24791950;23148991;22421340;20661738;20551110
22	FAS	11	29734947;26905515;25645050;23749041;23285481;23053964;12510349;11550967;10515651;10461479;9029139
23	ZFP36L1	0	
24	LTBR	0	
25	IL6	16	30647443;30054992;28028393;28002590;26939566;24484294;23819334;23148991;21889771;21385363;20149313;20018071;19713205;19106168;18848327;17203201
26	COG6	4	27193031;26993500;24532676;18369459
27	CCR1	0	
28	CCR3	0	
29	PRR5L	0	
30	PRM1	0	
31	RMI2	0	
32	RUNX3	1	25221852
33	TIMMDC1	0	
34	CD80	4	28477078;23661460;21910999;11196673
35	JAZF1	1	25477900
36	AFF3	6	28681901;24040234;22983539;22355377;22328738;20444755
37	LONRF2	0	
38	HUNK	1	26077402
39	SCAF4	1	26077402
40	AP000255.6-001	0	
41	NR	3	28477078;20211020;16886894
42	PTTG1	0	
43	ATG5	1	22040493
44	TNFAIP3	38	31534975;31300459;30224649;28888761;28199970;27799070;27779104;27564082;27536202;26939566;25684197;25674272;25397881;24884566;24678426;23582631;23425151;22402800;22170493;22127930
45	TNPO3	0	
46	IRF5	25	29071117;26939566;26879349;25351936;25284481;25036352;24223576;24014567;23801380;23073787;21807777;21239750;20980283;20691091;20453440;20112363;20049410;19856886;19228650;18843785
47	BLK	10	28925718;27105348;26939566;23678157;23646104;22740142;22355377;21765104;20453440;19714582
48	ICAM3	0	
49	GATA6	0	
50	MIB1	0	
51	TGFA	0	
52	LOC100131866	0	
53	NR5A2	0	
54	KIAA1542	2	25014791;19714582
55	HLA-DRB1	224	31596875;31168412;31038287;30963994;30936065;30701887;30530827;30505369;30306282;30176641;29967194;29728533;29728532;29321349;29317506;29168332;28801345;28681901;28182665;27998952
56	APOM	5	27412944;24341666;23660425;23190940;21844665
57	SALL3	0	
58	HLA-DQA1	14	30936065;26272072;25550865;25014791;23678157;22286218;20472930;18509540;15077289;12691174;11454644;8185696;1347283;1979063
59	NR2F2	0	
60	MAP2K6	2	23651021;20805296
61	ALPL	0	
62	CBLN2	1	23651021
63	QPCT	0	
64	CNTNAP4	0	
65	PDE3A	4	27180831;25493569;25403996;23651021
66	SLCO1C1	4	27180831;25493569;25403996;23651021
67	TRHDE	0	
68	ARHGEF3	0	
69	AIRE	8	31601134;30403260;29074995;29069728;27264825;25637666;24170308;23320549
70	PFKL	0	
71	PADI4	54	31349745;31300459;31242568;29518108;29302826;28832760;28653215;28551357;28182665;27706751;27255888;27182695;27051025;26546893;26474773;26149185;26043831;25205591;25189266;25138370
72	NFKBIE	1	26587663
73	RTKN2	0	
74	PPM1L	0	
75	ARL14	1	30573655
76	PTPRM	0	
77	HLA	438	31614573;31596875;31549885;31231487;31168412;31038287;31023654;30963994;30936065;30718717;30701887;30637604;30530827;30505369;30306282;30176641;29967194;29728533;29728532;29476350
78	ARL15	1	23918589
79	RPS12P4	1	21156761
80	IGFBP1	0	
81	LDHAL3	0	
82	KCNIP4	0	
83	GPR125	0	
84	GMCL1L	0	
85	CCR6	13	31364806;28868359;27626929;26939566;26131115;23983073;23678157;22859539;22355377;22127930;22092173;21120996;20453841
86	OLIG3	6	23425151;20921970;19856886;19445664;17982456;17982455
87	MAP3K7	1	26776603
88	BACH2	5	31455420;26939566;26776603;25904084;24022229
89	WDR27	1	26776603
90	GFRA1	1	26776603
91	CSMD2	0	
92	SMARCAL1	0	
93	NLRP10	0	
94	PKD1L3	1	25664505
95	IST1	0	
96	ATXN1L	0	
97	CDH18	0	
98	TRAF1-C5	29	31530986;25834819;25351936;24338224;24234752;24040234;23321589;22284611;22196377;21492465;21383967;20822712;20219786;20205706;20049410;20018053;20017997;19918040;19445664;19433411
99	SPSB1	0	
100	SLC6A11	0	
101	ENOX1	1	27339827
102	MDGA2	0	
103	ENSG00000102921	0	
104	PSMA4	0	
105	RCHY1	0	
106	ETFA	0	
