	studlab	TE	seTE	lower	upper	zval	pval	w.fixed	w.random
1	1	-6.88556867442683	0.190239106256505	-7.25843047114067	-6.51270687771299	-36.1942862848757	7.48789217820859e-287	27.6312419722021	0.221508480561085
2	2	-6.00023556095529	0.0369499250019553	-6.07265608319058	-5.92781503872	-162.388301482013	0	732.441388956985	0.223230518799675
3	3	-8.79395602955829	3.95704956369817	-16.5496306594466	-1.03828139966994	-2.22235175172778	0.0262595432725305	0.0638641328909051	0.0496609395089613
4	4	-1.81559759881628	3.89372387743709	-9.44715616433664	5.81596096670407	-0.466288225864474	0.641009205405761	0.0659583372958225	0.0509180666008608
5	5	-6.75749040408441	0.0842218877830155	-6.92256227084909	-6.59241853731972	-80.2343735335643	0	140.977581769672	0.222945444929112
6	6	-2.82527939525059	2.86881838275552	-8.44806010363786	2.79750131313667	-0.984823372658709	0.324710837865229	0.121504927272893	0.0786879394483586
7	7	0.30853033880077	0.600221945637926	-0.867883057380124	1.48494373498166	0.51402708788473	0.607233052292383	2.7757238652873	0.206672405968296
8	8	-5.58662495723279	0.246325578726613	-6.06941422000794	-5.10383569445764	-22.6798409897706	7.08446510526429e-114	16.4809019781289	0.220313561971162
9	9	-6.36602296812891	1.15869126827685	-8.63701612315257	-4.09502981310526	-5.49414942739335	3.92597972770943e-08	0.74484264148237	0.171795495859322
10	10	-2.32564586359584	0.0536562031066369	-2.43081008923201	-2.22048163795966	-43.3434669049136	0	347.344259237221	0.223155114225515
11	11	-5.96988123456593	0.125077751720187	-6.21502912320474	-5.72473334592713	-47.7293615568119	0	63.9204564619833	0.222521223189097
12	12	-3.9749406140821	0.595707876403822	-5.14250659714043	-2.80737463102377	-6.67263397301053	2.51252500603259e-11	2.81795020975351	0.206903252697198
13	13	-3.74750114471401	0.0590468650018253	-3.86323087351759	-3.63177141591044	-63.4665556689278	0	286.817939301995	0.223124863719404
14	14	-4.36574030445658	0.0649061887351922	-4.49295409675131	-4.23852651216184	-67.2623118000066	0	237.371067790772	0.223088711889199
15	15	-0.555873781208893	0.700484200816087	-1.92879758654775	0.81705002412996	-0.793556486443637	0.427453672814945	2.03799592486729	0.201248260941458
16	16	-6.73911974269417	0.390613929434632	-7.50470897624572	-5.97353050914262	-17.2526354921553	1.0690947980043e-66	6.55397148232483	0.215941297774225
17	17	-1.74620407584465	0.0302175664546577	-1.80542941779622	-1.68697873389307	-57.7877135958276	0	1095.16871284993	0.223253054826181
18	18	-6.68294208029119	0.247235031177817	-7.16751383711635	-6.19837032346604	-27.0307247660413	6.43678880754309e-161	16.3598752053198	0.220291776848577
19	19	-1.74983812949401	0.791137785835112	-3.30043969653959	-0.199236562448424	-2.21179946252587	0.0269805242769041	1.59770187539759	0.195916783953174
20	20	-2.96421541575816	0.600174554181256	-4.1405359263908	-1.78789490512551	-4.93892217706875	7.85555527107695e-07	2.77616224038993	0.206674835904518
21	21	-5.02328691469257	0.0684535638231086	-5.15745343439927	-4.88912039498586	-73.3824016478278	0	213.406613176866	0.223065170003198
22	22	-5.78941793286001	7.95050135206052	-21.3721142419356	9.79327837621561	-0.728182749300404	0.466501724357016	0.0158201635319069	0.014773497026864
23	23	-7.01556487466529	0.921916950101474	-8.82248889360119	-5.20864085572939	-7.60975798730362	2.74609641458033e-14	1.17656628752874	0.187679241237615
